ranking,tournamentName,tournamentId,isOpta,tournamentRegionId,tournamentRegionName,tournamentRegionCode,regionCode,teamId,teamName,teamRegionName,apps,rating,shotsPerGame,redCard,yellowCard,possession,aerialWonPerGame,goal,name,seasonId,seasonName,passSuccess
1,Champions League,12,True,250,Europe,ceu,es,52,Real Madrid,Spain,13,7.11,19.46153846153846,0.0,19.0,0.5352076923076923,10.692307692307692,36.0,Real Madrid,0,,0.871654175588865
2,Champions League,12,True,250,Europe,ceu,de,37,Bayern Munich,Germany,10,7.06,19.3,2.0,16.0,0.6191,15.0,27.0,Bayern,0,,0.8856864383180173
3,Champions League,12,True,250,Europe,ceu,es,65,Barcelona,Spain,10,7.03,13.1,1.0,25.0,0.6053400000000001,7.0,26.0,Barcelona,0,,0.8744136783174459
4,Champions League,12,True,250,Europe,ceu,es,63,Atletico Madrid,Spain,12,7.01,13.25,0.0,21.0,0.4852,17.75,15.0,Atletico,0,,0.8014655760054533
5,Champions League,12,True,250,Europe,ceu,de,44,Borussia Dortmund,Germany,10,6.99,15.4,0.0,19.0,0.59334,12.1,28.0,Borussia Dortmund,0,,0.8622265752530199
6,Champions League,12,True,250,Europe,ceu,it,87,Juventus,Italy,13,6.98,13.846153846153847,2.0,27.0,0.5397153846153846,12.538461538461538,22.0,Juventus,0,,0.8545402789638485
7,Champions League,12,True,250,Europe,ceu,dk,10,FC Copenhagen,Denmark,6,6.9399999999999995,11.166666666666666,1.0,7.0,0.5247333333333333,24.5,7.0,Copenhagen,0,,0.7914210870988867
8,Champions League,12,True,250,Europe,ceu,fr,228,Lyon,France,6,6.9399999999999995,17.5,0.0,14.0,0.5139666666666667,11.0,5.0,Lyon,0,,0.8496902510596674
9,Champions League,12,True,250,Europe,ceu,gb-eng,13,Arsenal,England,8,6.93,11.75,2.0,13.0,0.4905125,12.75,20.0,Arsenal,0,,0.8486857684110821
10,Champions League,12,True,250,Europe,ceu,de,36,Bayer Leverkusen,Germany,8,6.93,13.25,0.0,16.0,0.506075,18.0,10.0,Leverkusen,0,,0.7682689636010003
11,Champions League,12,True,250,Europe,ceu,es,67,Sevilla,Spain,8,6.92,13.0,2.0,15.0,0.5706,13.875,9.0,Sevilla,0,,0.8354910714285714
12,Champions League,12,True,250,Europe,ceu,fr,304,Paris Saint-Germain,France,8,6.9,15.375,1.0,15.0,0.5407625,11.625,18.0,PSG,0,,0.8794388426128891
